INFO  @2017-09-11 11:39:00,441 | main | Iceason_Invoice | -- 菜单创建失败，错误码：40027
ERROR @2017-09-11 11:40:31,860 | main | invoice.iceason.weixin.weixin.WeixinUtil | -- 获取失败用户 errcode:40001 errmsg:invalid credential, access_token is invalid or not latest hint: [RxCyva0234vr64!]
ERROR @2017-09-11 11:40:31,944 | main | invoice.iceason.weixin.weixin.WeixinUtil | -- 获取失败用户 errcode:40001 errmsg:invalid credential, access_token is invalid or not latest hint: [awh7LA0234vr58!]
ERROR @2017-09-11 11:42:59,941 | main | invoice.iceason.weixin.weixin.WeixinUtil | -- 创建菜单失败 errcode:40027 errmsg:invalid sub button url size hint: [Btkjqa0239vr19]
INFO  @2017-09-11 11:42:59,981 | main | Iceason_Invoice | -- 菜单创建失败，错误码：40027
INFO  @2017-09-11 11:46:29,823 | main | Iceason_Invoice | -- 菜单创建成功！
INFO  @2017-09-11 12:03:47,089 | main | Iceason_Invoice | -- 菜单创建成功！
INFO  @2017-09-11 12:09:58,440 | main | Iceason_Invoice | -- 菜单创建成功！
INFO  @2017-09-11 12:11:36,823 | main | Iceason_Invoice | -- 菜单创建成功！
ERROR @2017-09-11 12:53:09,727 | main | invoice.iceason.weixin.weixin.WeixinUtil | -- 创建菜单失败 errcode:40026 errmsg:invalid sub button key size hint: [Is7DwA0592vr22]
INFO  @2017-09-11 12:53:09,762 | main | Iceason_Invoice | -- 菜单创建失败，错误码：40026
ERROR @2017-09-11 13:23:58,814 | main | invoice.iceason.weixin.weixin.WeixinUtil | -- 创建菜单失败 errcode:40026 errmsg:invalid sub button key size hint: [J_CPma0441vr25]
INFO  @2017-09-11 13:23:58,856 | main | Iceason_Invoice | -- 菜单创建失败，错误码：40026
ERROR @2017-09-11 13:25:25,689 | main | invoice.iceason.weixin.weixin.WeixinUtil | -- 创建菜单失败 errcode:40026 errmsg:invalid sub button key size hint: [hMq7Fa0528vr23]
INFO  @2017-09-11 13:25:25,728 | main | Iceason_Invoice | -- 菜单创建失败，错误码：40026
INFO  @2017-09-11 13:30:38,312 | main | Iceason_Invoice | -- 菜单创建成功！
INFO  @2017-09-11 13:36:10,340 | main | Iceason_Invoice | -- 菜单创建成功！
INFO  @2017-09-11 13:36:52,736 | main | Iceason_Invoice | -- 菜单创建成功！
INFO  @2017-09-11 13:37:12,523 | main | Iceason_Invoice | -- 菜单创建成功！
INFO  @2017-09-11 13:38:23,314 | main | Iceason_Invoice | -- 菜单创建成功！
INFO  @2017-09-11 13:39:35,900 | main | Iceason_Invoice | -- 菜单创建成功！
INFO  @2017-09-11 13:40:53,610 | main | Iceason_Invoice | -- 菜单创建成功！
